dow,time_initial,time_final
1,0,2
1,2,4
1,4,6
1,6,8
1,8,10
1,10,12
1,12,14
1,14,16
1,16,18
1,18,20
1,20,22
1,22,24
2,0,2
2,2,4
2,4,6
2,6,8
2,8,10
2,10,12
2,12,14
2,14,16
2,16,18
2,18,20
2,20,22
2,22,24
3,0,2
3,2,4
3,4,6
3,6,8
3,8,10
3,10,12
3,12,14
3,14,16
3,16,18
3,18,20
3,20,22
3,22,24
4,0,2
4,2,4
4,4,6
4,6,8
4,8,10
4,10,12
4,12,14
4,14,16
4,16,18
4,18,20
4,20,22
4,22,24
5,0,2
5,2,4
5,4,6
5,6,8
5,8,10
5,10,12
5,12,14
5,14,16
5,16,18
5,18,20
5,20,22
5,22,24
6,0,2
6,2,4
6,4,6
6,6,8
6,8,10
6,10,12
6,12,14
6,14,16
6,16,18
6,18,20
6,20,22
6,22,24
7,0,2
7,2,4
7,4,6
7,6,8
7,8,10
7,10,12
7,12,14
7,14,16
7,16,18
7,18,20
7,20,22
7,22,24
